548064.22,5129245.65,1003.49
548064.82,5129248.10,1003.63
548065.41,5129250.51,1003.84
548066.00,5129252.94,1003.98
548066.94,5129257.55,1006.82
548070.12,5129271.57,1011.13
548073.80,5129287.73,1015.89
548076.02,5129291.77,1017.41
548075.01,5129287.24,1015.90
548071.37,5129271.11,1011.18
548070.87,5129268.81,1010.33
548070.29,5129266.43,1010.19
548069.29,5129261.80,1008.29
548068.26,5129257.15,1006.54
548067.81,5129254.87,1005.04
548067.31,5129252.53,1004.01
548066.72,5129250.12,1003.89
548066.13,5129247.69,1003.74
548065.54,5129245.26,1003.66
548064.92,5129242.80,1003.75
548064.33,5129240.38,1003.60
548063.76,5129237.95,1003.26
548063.19,5129235.54,1002.89
548062.70,5129233.19,1001.59
548062.18,5129230.81,1000.70
548061.66,5129228.41,999.77
548061.25,5129226.12,997.59
548060.73,5129223.72,996.54
548060.21,5129221.32,995.61
548059.66,5129218.89,994.82
548059.12,5129216.47,994.06
548058.55,5129214.01,993.58
548058.03,5129211.60,992.54
548057.44,5129209.12,992.20
548048.09,5129166.94,977.34
548047.56,5129164.43,976.08
548047.01,5129161.90,975.19
548046.45,5129159.37,974.21
548041.25,5129136.36,967.40
548037.68,5129120.82,963.74
548035.22,5129110.38,961.96
548034.65,5129107.77,960.97
548033.45,5129102.53,959.62
548031.03,5129092.04,957.17
548028.59,5129081.50,954.94
548027.97,5129078.87,954.46
548028.58,5129074.05,953.94
548031.07,5129084.57,955.71
548032.29,5129089.82,956.98
548034.73,5129100.29,959.25
548036.53,5129108.12,961.38
548037.10,5129110.71,962.36
548041.35,5129128.88,966.19
548042.54,5129134.04,967.44
548047.81,5129157.07,973.91
548048.38,5129159.61,974.75
548048.93,5129162.12,975.85
548049.50,5129164.66,976.64
548051.20,5129172.20,979.16
548052.91,5129179.75,981.55
548053.47,5129182.24,982.37
548054.57,5129187.22,984.18
548060.05,5129211.83,993.20
548061.74,5129219.19,995.10
548062.29,5129221.61,995.94
548062.80,5129224.01,997.15
548063.31,5129226.39,998.26
548063.74,5129228.71,1000.31
548064.27,5129231.10,1001.17
548064.79,5129233.49,1002.19
548065.30,5129235.85,1003.26
548065.88,5129238.28,1003.70
548066.49,5129240.72,1003.68
548067.08,5129243.16,1003.92
548067.68,5129245.60,1003.95
548068.29,5129248.05,1004.04
548068.88,5129250.46,1004.20
548069.48,5129252.89,1004.30
548070.01,5129255.23,1005.08
548070.46,5129257.51,1006.70
548071.45,5129262.15,1008.93
548072.52,5129266.82,1010.27
548075.16,5129278.41,1013.70
548076.72,5129285.32,1015.90
548077.23,5129287.58,1016.62
548078.95,5129288.96,1017.03
548074.28,5129268.30,1011.03
548073.78,5129266.00,1010.14
548073.25,5129263.67,1009.50
548072.22,5129259.02,1007.81
548071.77,5129256.75,1006.31
548071.33,5129254.48,1004.72
548070.75,5129252.07,1004.50
548070.17,5129249.68,1004.29
548069.58,5129247.26,1004.16
548068.99,5129244.83,1004.10
548067.78,5129239.95,1004.05
548066.65,5129235.12,1003.22
548065.61,5129230.36,1001.32
548065.09,5129227.96,1000.39
548064.18,5129223.29,997.06
548063.65,5129220.89,996.09
548061.43,5129211.11,993.45
548055.44,5129184.01,983.74
548054.93,5129181.55,982.36
548054.35,5129179.03,981.76
548053.76,5129176.51,981.29
